AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,NAME_CONTRACT_TYPE,CODE_GENDER,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,debt_to_income,credit_utilisation,income_per_person,annuity_to_credit,age_years,employment_years,delinquency_flag,doc_submission_score,income_band,tenure_band,TARGET
153000.0,197820.0,15988.5,180000.0,-18232,-7398,3.0,Cash loans,F,Working,Secondary / secondary special,Widow,0.1044993169979281,1.098993894478364,38250.0,0.0808230673184343,49.95068493150685,20.268493150684932,0,1,100-200K,5+ yrs,0
247500.0,270000.0,13500.0,270000.0,-16695,-3226,1.0,Revolving loans,M,Commercial associate,Higher education,Separated,0.05454523416067,0.9999962963100136,123750.0,0.0499998148155006,45.73972602739726,8.838356164383562,0,0,200-500K,5+ yrs,0
184500.0,385164.0,23404.5,292500.0,-9949,-974,4.0,Cash loans,M,Working,Secondary / secondary special,Married,0.1268529709866071,1.3167954981350491,36900.0,0.0607648670050497,27.257534246575343,2.668493150684931,0,1,100-200K,2-5 yrs,1
360000.0,1223010.0,51948.0,1125000.0,-16166,-4515,4.0,Cash loans,M,Commercial associate,Higher education,Married,0.1442995991677801,1.08711903367197,72000.0,0.0424754969497412,44.29041095890411,12.36986301369863,0,1,200-500K,5+ yrs,0
306000.0,990000.0,29074.5,990000.0,-17998,-758,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.0950143953777928,0.9999989899000102,102000.0,0.0293681521533816,49.30958904109589,2.0767123287671234,0,1,200-500K,2-5 yrs,1
132750.0,808650.0,26086.5,675000.0,-15721,-1086,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.1965069942975947,1.1979982251878143,44250.0,0.0322592811979457,43.07123287671233,2.9753424657534246,0,1,100-200K,2-5 yrs,0
112500.0,202500.0,10125.0,202500.0,-8181,-1171,1.0,Revolving loans,F,Working,Higher education,Single / not married,0.089999200007111,0.9999950617527816,56250.0,0.049999753087639,22.413698630136988,3.208219178082192,0,0,100-200K,2-5 yrs,0
270000.0,594000.0,17496.0,594000.0,-17130,-625,2.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.0647997600008888,0.9999983165011508,90000.0,0.029454495867852,46.93150684931507,1.7123287671232876,0,1,200-500K,0-2 yrs,0
90000.0,1042164.0,44284.5,931500.0,-17590,-907,2.0,Cash loans,F,Commercial associate,Secondary / secondary special,Married,0.492044532838524,1.1188007312928274,30000.0,0.042492791448571,48.19178082191781,2.484931506849315,0,1,50-100K,2-5 yrs,0
112500.0,279000.0,13698.0,279000.0,-11273,-1731,1.0,Cash loans,M,Working,Higher education,Single / not married,0.1217589176985093,0.999996415783456,56250.0,0.049096598220078,30.884931506849316,4.742465753424658,0,1,100-200K,2-5 yrs,0
135000.0,754740.0,24475.5,630000.0,-11846,-2877,2.0,Cash loans,F,Working,Secondary / secondary special,Single / not married,0.1812986570469848,1.1979980984157168,45000.0,0.0324290054469016,32.45479452054794,7.882191780821918,0,1,100-200K,5+ yrs,0
67500.0,269550.0,11547.0,225000.0,-16508,-5172,3.0,Cash loans,F,Working,Higher education,Married,0.1710641323832239,1.1979946755792197,16875.0,0.0428379045152865,45.227397260273975,14.169863013698633,0,1,50-100K,5+ yrs,0
270000.0,180000.0,17932.5,180000.0,-12971,-270,2.0,Cash loans,F,Commercial associate,Incomplete higher,Civil marriage,0.0664164206799234,0.9999944444753084,90000.0,0.0996244465308526,35.536986301369865,0.7397260273972602,0,1,200-500K,0-2 yrs,0
90000.0,239850.0,25447.5,225000.0,-19047,-3406,2.0,Cash loans,F,Working,Secondary / secondary special,Civil marriage,0.2827468583682404,1.065995262243279,30000.0,0.1060971186278147,52.18356164383562,9.331506849315067,0,1,50-100K,5+ yrs,0
292500.0,450000.0,48595.5,450000.0,-8841,-1586,2.0,Cash loans,F,Working,Higher education,Married,0.166137893545663,0.999997777782716,97500.0,0.1079897600227555,24.221917808219175,4.345205479452055,0,1,200-500K,2-5 yrs,0
225000.0,1546020.0,45333.0,1350000.0,-12289,-2416,2.0,Cash loans,F,Working,Secondary / secondary special,Married,0.2014791045373131,1.145199151704332,75000.0,0.0293223701359813,33.66849315068493,6.619178082191781,0,1,200-500K,5+ yrs,0
157500.0,254700.0,23944.5,225000.0,-19452,-6010,2.0,Cash loans,F,Working,Secondary / secondary special,Civil marriage,0.152027606173929,1.1319949689112492,52500.0,0.0940102316049014,53.293150684931504,16.465753424657535,0,2,100-200K,5+ yrs,0
180000.0,215640.0,16830.0,180000.0,-15633,-2058,2.0,Cash loans,M,Commercial associate,Secondary / secondary special,Married,0.0934994805584413,1.1979933444814197,60000.0,0.0780463826452298,42.83013698630137,5.638356164383562,0,1,100-200K,5+ yrs,0
157500.0,450000.0,22500.0,450000.0,-15712,-873,2.0,Revolving loans,F,Working,Higher education,Single / not married,0.1428562358334232,0.999997777782716,52500.0,0.0499998888891358,43.04657534246575,2.3917808219178083,0,0,100-200K,2-5 yrs,0
103500.0,349659.0,24466.5,324000.0,-20189,365243,2.0,Cash loans,F,Pensioner,Secondary / secondary special,Civil marriage,0.2363890203959382,1.079191113607674,34500.0,0.069972258765658,55.31232876712329,0.0,0,1,100-200K,0-2 yrs,0
112500.0,263686.5,27688.5,238500.0,-17366,-1192,3.0,Cash loans,F,Commercial associate,Secondary / secondary special,Married,0.246117812286113,1.105599137949107,28125.0,0.1050049774828158,47.57808219178082,3.265753424657534,0,1,100-200K,2-5 yrs,0
